Precio,Cambio,Potencia,Año,kilometraje,Diésel,Eléctrico,Gasolina,Hybrid
15780,0,110,2017,31079,True,False,False,False
11900,0,110,2013,147000,True,False,False,False
12590,0,95,2019,104236,True,False,False,False
10900,0,110,2013,178000,True,False,False,False
10900,0,90,2013,140000,True,False,False,False
18055,0,130,2018,55622,True,False,False,False
20700,0,140,2019,21678,False,False,True,False
16560,0,90,2017,82038,True,False,False,False
9990,0,71,2018,61620,False,False,True,False
8890,0,90,2014,287761,True,False,False,False
18081,0,140,2019,94250,False,False,True,False
8419,0,110,2011,134082,True,False,False,False
3100,0,105,2009,267000,True,False,False,False
14875,0,120,2017,87850,False,False,True,False
17263,1,150,2020,85625,False,False,True,False
17172,1,150,2019,95000,False,False,True,False
12900,0,110,2013,100000,True,False,False,False
12900,0,90,2009,232000,True,False,False,False
17263,1,150,2020,78000,False,False,True,False
15900,0,130,2016,98000,True,False,False,False
11900,0,130,2013,177000,True,False,False,False
12900,0,90,2009,232000,True,False,False,False
17990,1,110,2017,89029,True,False,False,False
18975,0,110,2017,57442,True,False,False,False
13790,0,115,2019,104235,True,False,False,False
11900,0,90,2015,140000,False,False,True,False
10990,0,75,2018,54845,True,False,False,False
8677,0,90,2017,148000,True,False,False,False
7990,0,110,2013,124000,False,False,True,False
14800,0,110,2018,91591,True,False,False,False
5890,0,90,2011,198400,True,False,False,False
16446,0,95,2018,113000,True,False,False,False
17080,0,130,2017,143790,True,False,False,False
17272,0,120,2019,80000,True,False,False,False
7200,0,172,2000,137000,False,False,True,False
6500,0,100,2007,255484,True,False,False,False
2200,0,105,2006,220000,True,False,False,False
1100,0,80,2005,194000,True,False,False,False
4500,1,130,2008,188000,True,False,False,False
1800,0,105,2007,214000,True,False,False,False
3500,0,90,2012,282615,True,False,False,False
16999,0,125,2017,173000,True,False,False,False
5200,0,130,2010,162000,True,False,False,False
2500,0,60,1998,100000,False,False,True,False
2099,0,120,2004,197000,True,False,False,False
3499,0,130,2007,140000,True,False,False,False
15399,0,110,2018,74526,True,False,False,False
16700,0,101,2021,18700,False,False,False,False
1300,0,120,2003,170000,True,False,False,False
3200,1,150,2008,270000,True,False,False,False
11000,0,75,2015,58000,True,False,False,False
2300,0,75,2005,225000,False,False,True,False
10365,0,75,2016,51000,True,False,False,False
8909,0,75,2015,52100,True,False,False,False
9000,0,115,2014,174000,False,False,True,False
9990,0,90,2015,100700,True,False,False,False
13975,0,90,2018,92520,True,False,False,False
14690,0,130,2017,171000,True,False,False,False
12900,0,75,2018,55699,True,False,False,False
7500,0,110,2012,150500,True,False,False,False
2300,0,75,2005,225000,False,False,True,False
2800,0,105,2002,50000,True,False,False,False
6900,0,75,2013,36000,False,False,True,False
1150,0,105,2002,149000,True,False,False,False
11900,0,110,2017,170000,True,False,False,False
8990,0,110,2014,140000,True,False,False,False
2999,0,150,2007,260000,True,False,False,False
5499,0,75,2013,123000,True,False,False,False
3770,0,105,2007,165700,True,False,False,False
14890,0,130,2017,87159,False,False,True,False
14890,0,130,2017,87159,False,False,True,False
1720,0,85,2008,225280,True,False,False,False
2370,0,70,2009,225988,True,False,False,False
2800,0,130,2007,240000,True,False,False,False
16900,0,115,2019,79000,False,False,True,False
11900,0,90,2017,135000,True,False,False,False
7490,0,75,2015,140000,True,False,False,False
2000,0,105,2006,260000,True,False,False,False
5700,0,110,2013,230000,True,False,False,False
1900,0,70,2005,263000,True,False,False,False
22990,0,120,2020,51268,True,False,False,False
7490,0,75,2015,140000,True,False,False,False
2000,0,110,2000,216000,True,False,False,False
2200,0,105,2002,148500,True,False,False,False
16000,0,101,2020,35000,False,False,False,False
3500,0,110,2007,172000,False,False,True,False
1800,0,120,2006,247000,True,False,False,False
